110000=中国,,北京市
130702=中国,河北省,张家口市,桥东区
130703=中国,河北省,张家口市,桥西区
130705=中国,河北省,张家口市,宣化区
130706=中国,河北省,张家口市,下花园区
130708=中国,河北省,张家口市,万全区
130709=中国,河北省,张家口市,崇礼区
130722=中国,河北省,张家口市,张北县
130723=中国,河北省,张家口市,康保县
130724=中国,河北省,张家口市,沽源县
130725=中国,河北省,张家口市,尚义县
130726=中国,河北省,张家口市,蔚县
130727=中国,河北省,张家口市,阳原县
130728=中国,河北省,张家口市,怀安县
130730=中国,河北省,张家口市,怀来县
130731=中国,河北省,张家口市,涿鹿县
130732=中国,河北省,张家口市,赤城县
130800=中国,河北省,承德市
130802=中国,河北省,承德市,双桥区
130803=中国,河北省,承德市,双滦区
130804=中国,河北省,承德市,鹰手营子矿区
130821=中国,河北省,承德市,承德县
130822=中国,河北省,承德市,兴隆县
130824=中国,河北省,承德市,滦平县
130825=中国,河北省,承德市,隆化县
130826=中国,河北省,承德市,丰宁满族自治县
130827=中国,河北省,承德市,宽城满族自治县
130828=中国,河北省,承德市,围场满族蒙古族自治县
130881=中国,河北省,承德市,平泉市
130900=中国,河北省,沧州市
130902=中国,河北省,沧州市,新华区
130903=中国,河北省,沧州市,运河区
130921=中国,河北省,沧州市,沧县
130922=中国,河北省,沧州市,青县
130923=中国,河北省,沧州市,东光县
130924=中国,河北省,沧州市,海兴县
130925=中国,河北省,沧州市,盐山县
130926=中国,河北省,沧州市,肃宁县
130927=中国,河北省,沧州市,南皮县
130928=中国,河北省,沧州市,吴桥县
130929=中国,河北省,沧州市,献县
130930=中国,河北省,沧州市,孟村回族自治县
130981=中国,河北省,沧州市,泊头市
130982=中国,河北省,沧州市,任丘市
130983=中国,河北省,沧州市,黄骅市
130984=中国,河北省,沧州市,河间市
131000=中国,河北省,廊坊市
131002=中国,河北省,廊坊市,安次区
131003=中国,河北省,廊坊市,广阳区
131022=中国,河北省,廊坊市,固安县
131023=中国,河北省,廊坊市,永清县
131024=中国,河北省,廊坊市,香河县
131025=中国,河北省,廊坊市,大城县
131026=中国,河北省,廊坊市,文安县
131028=中国,河北省,廊坊市,大厂回族自治县
131081=中国,河北省,廊坊市,霸州市
131082=中国,河北省,廊坊市,三河市
131100=中国,河北省,衡水市
131102=中国,河北省,衡水市,桃城区
131103=中国,河北省,衡水市,冀州区
131121=中国,河北省,衡水市,枣强县
131122=中国,河北省,衡水市,武邑县
131123=中国,河北省,衡水市,武强县
131124=中国,河北省,衡水市,饶阳县
131125=中国,河北省,衡水市,安平县
131126=中国,河北省,衡水市,故城县
131127=中国,河北省,衡水市,景县
131128=中国,河北省,衡水市,阜城县
131182=中国,河北省,衡水市,深州市
139001=中国,河北省,定州市,定州市
139002=中国,河北省,辛集市,辛集市
140000=中国,山西省
140100=中国,山西省,太原市
140105=中国,山西省,太原市,小店区
140106=中国,山西省,太原市,迎泽区
140107=中国,山西省,太原市,杏花岭区
140108=中国,山西省,太原市,尖草坪区
140109=中国,山西省,太原市,万柏林区
140110=中国,山西省,太原市,晋源区
140121=中国,山西省,太原市,清徐县
140122=中国,山西省,太原市,阳曲县
140123=中国,山西省,太原市,娄烦县
140181=中国,山西省,太原市,古交市
140200=中国,山西省,大同市
140202=中国,山西省,大同市,城区
140203=中国,山西省,大同市,矿区
140211=中国,山西省,大同市,南郊区
140212=中国,山西省,大同市,新荣区
140221=中国,山西省,大同市,阳高县
140222=中国,山西省,大同市,天镇县
140223=中国,山西省,大同市,广灵县
140224=中国,山西省,大同市,灵丘县
140225=中国,山西省,大同市,浑源县
140226=中国,山西省,大同市,左云县
140227=中国,山西省,大同市,大同县
140300=中国,山西省,阳泉市
140302=中国,山西省,阳泉市,城区
140303=中国,山西省,阳泉市,矿区
140311=中国,山西省,阳泉市,郊区
140321=中国,山西省,阳泉市,平定县
140322=中国,山西省,阳泉市,盂县
140400=中国,山西省,长治市
140402=中国,山西省,长治市,城区
140411=中国,山西省,长治市,郊区
140421=中国,山西省,长治市,长治县
140423=中国,山西省,长治市,襄垣县
140424=中国,山西省,长治市,屯留县
140425=中国,山西省,长治市,平顺县
140426=中国,山西省,长治市,黎城县
140427=中国,山西省,长治市,壶关县
140428=中国,山西省,长治市,长子县
140429=中国,山西省,长治市,武乡县
140430=中国,山西省,长治市,沁县
140431=中国,山西省,长治市,沁源县
140481=中国,山西省,长治市,潞城市
140500=中国,山西省,晋城市
140502=中国,山西省,晋城市,城区
140521=中国,山西省,晋城市,沁水县
140522=中国,山西省,晋城市,阳城县
140524=中国,山西省,晋城市,陵川县
140525=中国,山西省,晋城市,泽州县
140581=中国,山西省,晋城市,高平市
140600=中国,山西省,朔州市
140602=中国,山西省,朔州市,朔城区
140603=中国,山西省,朔州市,平鲁区
140621=中国,山西省,朔州市,山阴县
140622=中国,山西省,朔州市,应县
140623=中国,山西省,朔州市,右玉县
140624=中国,山西省,朔州市,怀仁县
140700=中国,山西省,晋中市
140702=中国,山西省,晋中市,榆次区
140721=中国,山西省,晋中市,榆社县
140722=中国,山西省,晋中市,左权县
140723=中国,山西省,晋中市,和顺县
140724=中国,山西省,晋中市,昔阳县
140725=中国,山西省,晋中市,寿阳县
140726=中国,山西省,晋中市,太谷县
140727=中国,山西省,晋中市,祁县
140728=中国,山西省,晋中市,平遥县
140729=中国,山西省,晋中市,灵石县
140781=中国,山西省,晋中市,介休市
140800=中国,山西省,运城市
140802=中国,山西省,运城市,盐湖区
140821=中国,山西省,运城市,临猗县
140822=中国,山西省,运城市,万荣县
140823=中国,山西省,运城市,闻喜县
140824=中国,山西省,运城市,稷山县
140825=中国,山西省,运城市,新绛县
140826=中国,山西省,运城市,绛县
140827=中国,山西省,运城市,垣曲县
140828=中国,山西省,运城市,夏县
140829=中国,山西省,运城市,平陆县
140830=中国,山西省,运城市,芮城县
140881=中国,山西省,运城市,永济市
140882=中国,山西省,运城市,河津市
140900=中国,山西省,忻州市
140902=中国,山西省,忻州市,忻府区
140921=中国,山西省,忻州市,定襄县
140922=中国,山西省,忻州市,五台县
140923=中国,山西省,忻州市,代县
140924=中国,山西省,忻州市,繁峙县
140925=中国,山西省,忻州市,宁武县
140926=中国,山西省,忻州市,静乐县
140927=中国,山西省,忻州市,神池县
140928=中国,山西省,忻州市,五寨县
140929=中国,山西省,忻州市,岢岚县
140930=中国,山西省,忻州市,河曲县
140931=中国,山西省,忻州市,保德县
140932=中国,山西省,忻州市,偏关县
140981=中国,山西省,忻州市,原平市
141000=中国,山西省,临汾市
141002=中国,山西省,临汾市,尧都区
141021=中国,山西省,临汾市,曲沃县
141022=中国,山西省,临汾市,翼城县
141023=中国,山西省,临汾市,襄汾县
141024=中国,山西省,临汾市,洪洞县
141025=中国,山西省,临汾市,古县
141026=中国,山西省,临汾市,安泽县
141027=中国,山西省,临汾市,浮山县
141028=中国,山西省,临汾市,吉县
141029=中国,山西省,临汾市,乡宁县
141030=中国,山西省,临汾市,大宁县
141031=中国,山西省,临汾市,隰县
141032=中国,山西省,临汾市,永和县
141033=中国,山西省,临汾市,蒲县
141034=中国,山西省,临汾市,汾西县
141081=中国,山西省,临汾市,侯马市
141082=中国,山西省,临汾市,霍州市
141100=中国,山西省,吕梁市
141102=中国,山西省,吕梁市,离石区
141121=中国,山西省,吕梁市,文水县
141122=中国,山西省,吕梁市,交城县
141123=中国,山西省,吕梁市,兴县
141124=中国,山西省,吕梁市,临县
141125=中国,山西省,吕梁市,柳林县
141126=中国,山西省,吕梁市,石楼县
141127=中国,山西省,吕梁市,岚县
141128=中国,山西省,吕梁市,方山县
141129=中国,山西省,吕梁市,中阳县
141130=中国,山西省,吕梁市,交口县
141181=中国,山西省,吕梁市,孝义市
141182=中国,山西省,吕梁市,汾阳市
150000=中国,内蒙古自治区
150100=中国,内蒙古自治区,呼和浩特市
150102=中国,内蒙古自治区,呼和浩特市,新城区
150103=中国,内蒙古自治区,呼和浩特市,回民区
150104=中国,内蒙古自治区,呼和浩特市,玉泉区
150105=中国,内蒙古自治区,呼和浩特市,赛罕区
150121=中国,内蒙古自治区,呼和浩特市,土默特左旗
150122=中国,内蒙古自治区,呼和浩特市,托克托县
150123=中国,内蒙古自治区,呼和浩特市,和林格尔县
150124=中国,内蒙古自治区,呼和浩特市,清水河县
150125=中国,内蒙古自治区,呼和浩特市,武川县
150200=中国,内蒙古自治区,包头市
150202=中国,内蒙古自治区,包头市,东河区
150203=中国,内蒙古自治区,包头市,昆都仑区
150204=中国,内蒙古自治区,包头市,青山区
150205=中国,内蒙古自治区,包头市,石拐区
150206=中国,内蒙古自治区,包头市,白云鄂博矿区
150207=中国,内蒙古自治区,包头市,九原区
150221=中国,内蒙古自治区,包头市,土默特右旗
150222=中国,内蒙古自治区,包头市,固阳县
150223=中国,内蒙古自治区,包头市,达尔罕茂明安联合旗
150300=中国,内蒙古自治区,乌海市
150302=中国,内蒙古自治区,乌海市,海勃湾区
150303=中国,内蒙古自治区,乌海市,海南区
150304=中国,内蒙古自治区,乌海市,乌达区
150400=中国,内蒙古自治区,赤峰市
150402=中国,内蒙古自治区,赤峰市,红山区
150403=中国,内蒙古自治区,赤峰市,元宝山区
150404=中国,内蒙古自治区,赤峰市,松山区
150421=中国,内蒙古自治区,赤峰市,阿鲁科尔沁旗
150422=中国,内蒙古自治区,赤峰市,巴林左旗
150423=中国,内蒙古自治区,赤峰市,巴林右旗
150424=中国,内蒙古自治区,赤峰市,林西县
150425=中国,内蒙古自治区,赤峰市,克什克腾旗
150426=中国,内蒙古自治区,赤峰市,翁牛特旗
150428=中国,内蒙古自治区,赤峰市,喀喇沁旗
150429=中国,内蒙古自治区,赤峰市,宁城县
150430=中国,内蒙古自治区,赤峰市,敖汉旗
150500=中国,内蒙古自治区,通辽市
150502=中国,内蒙古自治区,通辽市,科尔沁区
150521=中国,内蒙古自治区,通辽市,科尔沁左翼中旗
150522=中国,内蒙古自治区,通辽市,科尔沁左翼后旗
150523=中国,内蒙古自治区,通辽市,开鲁县
150524=中国,内蒙古自治区,通辽市,库伦旗
150525=中国,内蒙古自治区,通辽市,奈曼旗
150526=中国,内蒙古自治区,通辽市,扎鲁特旗
150581=中国,内蒙古自治区,通辽市,霍林郭勒市
150600=中国,内蒙古自治区,鄂尔多斯市
150602=中国,内蒙古自治区,鄂尔多斯市,东胜区
150603=中国,内蒙古自治区,鄂尔多斯市,康巴什区
150621=中国,内蒙古自治区,鄂尔多斯市,达拉特旗
150622=中国,内蒙古自治区,鄂尔多斯市,准格尔旗
150623=中国,内蒙古自治区,鄂尔多斯市,鄂托克前旗
150624=中国,内蒙古自治区,鄂尔多斯市,鄂托克旗
150625=中国,内蒙古自治区,鄂尔多斯市,杭锦旗
150626=中国,内蒙古自治区,鄂尔多斯市,乌审旗
150627=中国,内蒙古自治区,鄂尔多斯市,伊金霍洛旗
150700=中国,内蒙古自治区,呼伦贝尔市
150702=中国,内蒙古自治区,呼伦贝尔市,海拉尔区
150703=中国,内蒙古自治区,呼伦贝尔市,扎赉诺尔区
150721=中国,内蒙古自治区,呼伦贝尔市,阿荣旗
150722=中国,内蒙古自治区,呼伦贝尔市,莫力达瓦达斡尔族自治旗
150723=中国,内蒙古自治区,呼伦贝尔市,鄂伦春自治旗
150724=中国,内蒙古自治区,呼伦贝尔市,鄂温克族自治旗
150725=中国,内蒙古自治区,呼伦贝尔市,陈巴尔虎旗
150726=中国,内蒙古自治区,呼伦贝尔市,新巴尔虎左旗
150727=中国,内蒙古自治区,呼伦贝尔市,新巴尔虎右旗
150781=中国,内蒙古自治区,呼伦贝尔市,满洲里市
150782=中国,内蒙古自治区,呼伦贝尔市,牙克石市
150783=中国,内蒙古自治区,呼伦贝尔市,扎兰屯市
150784=中国,内蒙古自治区,呼伦贝尔市,额尔古纳市
150785=中国,内蒙古自治区,呼伦贝尔市,根河市
150800=中国,内蒙古自治区,巴彦淖尔市
150802=中国,内蒙古自治区,巴彦淖尔市,临河区
150821=中国,内蒙古自治区,巴彦淖尔市,五原县
150822=中国,内蒙古自治区,巴彦淖尔市,磴口县
150823=中国,内蒙古自治区,巴彦淖尔市,乌拉特前旗
150824=中国,内蒙古自治区,巴彦淖尔市,乌拉特中旗
150825=中国,内蒙古自治区,巴彦淖尔市,乌拉特后旗
150826=中国,内蒙古自治区,巴彦淖尔市,杭锦后旗
150900=中国,内蒙古自治区,乌兰察布市
150902=中国,内蒙古自治区,乌兰察布市,集宁区
150921=中国,内蒙古自治区,乌兰察布市,卓资县
150922=中国,内蒙古自治区,乌兰察布市,化德县
150923=中国,内蒙古自治区,乌兰察布市,商都县
150924=中国,内蒙古自治区,乌兰察布市,兴和县
150925=中国,内蒙古自治区,乌兰察布市,凉城县
150926=中国,内蒙古自治区,乌兰察布市,察哈尔右翼前旗
150927=中国,内蒙古自治区,乌兰察布市,察哈尔右翼中旗
150928=中国,内蒙古自治区,乌兰察布市,察哈尔右翼后旗
150929=中国,内蒙古自治区,乌兰察布市,四子王旗
150981=中国,内蒙古自治区,乌兰察布市,丰镇市
152200=中国,内蒙古自治区,兴安盟
152201=中国,内蒙古自治区,兴安盟,乌兰浩特市
152202=中国,内蒙古自治区,兴安盟,阿尔山市
152221=中国,内蒙古自治区,兴安盟,科尔沁右翼前旗
152222=中国,内蒙古自治区,兴安盟,科尔沁右翼中旗
152223=中国,内蒙古自治区,兴安盟,扎赉特旗
152224=中国,内蒙古自治区,兴安盟,突泉县
152500=中国,内蒙古自治区,锡林郭勒盟
152501=中国,内蒙古自治区,锡林郭勒盟,二连浩特市
152502=中国,内蒙古自治区,锡林郭勒盟,锡林浩特市
152522=中国,内蒙古自治区,锡林郭勒盟,阿巴嘎旗
152523=中国,内蒙古自治区,锡林郭勒盟,苏尼特左旗
152524=中国,内蒙古自治区,锡林郭勒盟,苏尼特右旗
152525=中国,内蒙古自治区,锡林郭勒盟,东乌珠穆沁旗
152526=中国,内蒙古自治区,锡林郭勒盟,西乌珠穆沁旗
152527=中国,内蒙古自治区,锡林郭勒盟,太仆寺旗
152528=中国,内蒙古自治区,锡林郭勒盟,镶黄旗
152529=中国,内蒙古自治区,锡林郭勒盟,正镶白旗
152530=中国,内蒙古自治区,锡林郭勒盟,正蓝旗
152531=中国,内蒙古自治区,锡林郭勒盟,多伦县
152900=中国,内蒙古自治区,阿拉善盟
152921=中国,内蒙古自治区,阿拉善盟,阿拉善左旗
152922=中国,内蒙古自治区,阿拉善盟,阿拉善右旗
152923=中国,内蒙古自治区,阿拉善盟,额济纳旗
210000=中国,辽宁省
210100=中国,辽宁省,沈阳市
210102=中国,辽宁省,沈阳市,和平区
210103=中国,辽宁省,沈阳市,沈河区
210104=中国,辽宁省,沈阳市,大东区
210105=中国,辽宁省,沈阳市,皇姑区
210106=中国,辽宁省,沈阳市,铁西区
210111=中国,辽宁省,沈阳市,苏家屯区
210112=中国,辽宁省,沈阳市,浑南区
210113=中国,辽宁省,沈阳市,沈北新区
210114=中国,辽宁省,沈阳市,于洪区
210115=中国,辽宁省,沈阳市,辽中区
210123=中国,辽宁省,沈阳市,康平县
210124=中国,辽宁省,沈阳市,法库县
210181=中国,辽宁省,沈阳市,新民市
210200=中国,辽宁省,大连市
210202=中国,辽宁省,大连市,中山区
210203=中国,辽宁省,大连市,西岗区
210204=中国,辽宁省,大连市,沙河口区
210211=中国,辽宁省,大连市,甘井子区
210212=中国,辽宁省,大连市,旅顺口区
210213=中国,辽宁省,大连市,金州区
210214=中国,辽宁省,大连市,普兰店区
210224=中国,辽宁省,大连市,长海县
210281=中国,辽宁省,大连市,瓦房店市
210283=中国,辽宁省,大连市,庄河市
210300=中国,辽宁省,鞍山市
210302=中国,辽宁省,鞍山市,铁东区
210303=中国,辽宁省,鞍山市,铁西区
210304=中国,辽宁省,鞍山市,立山区
210311=中国,辽宁省,鞍山市,千山区
210321=中国,辽宁省,鞍山市,台安县
210323=中国,辽宁省,鞍山市,岫岩满族自治县
210381=中国,辽宁省,鞍山市,海城市
210400=中国,辽宁省,抚顺市
210402=中国,辽宁省,抚顺市,新抚区
210403=中国,辽宁省,抚顺市,东洲区
210404=中国,辽宁省,抚顺市,望花区
210411=中国,辽宁省,抚顺市,顺城区
210421=中国,辽宁省,抚顺市,抚顺县
210422=中国,辽宁省,抚顺市,新宾满族自治县
210423=中国,辽宁省,抚顺市,清原满族自治县
210500=中国,辽宁省,本溪市
210502=中国,辽宁省,本溪市,平山区
210503=中国,辽宁省,本溪市,溪湖区
210504=中国,辽宁省,本溪市,明山区
210505=中国,辽宁省,本溪市,南芬区
210521=中国,辽宁省,本溪市,本溪满族自治县
210522=中国,辽宁省,本溪市,桓仁满族自治县
210600=中国,辽宁省,丹东市
210602=中国,辽宁省,丹东市,元宝区
210603=中国,辽宁省,丹东市,振兴区
210604=中国,辽宁省,丹东市,振安区
210624=中国,辽宁省,丹东市,宽甸满族自治县
210681=中国,辽宁省,丹东市,东港市
210682=中国,辽宁省,丹东市,凤城市
210700=中国,辽宁省,锦州市
210702=中国,辽宁省,锦州市,古塔区
210703=中国,辽宁省,锦州市,凌河区
210711=中国,辽宁省,锦州市,太和区
210726=中国,辽宁省,锦州市,黑山县
210727=中国,辽宁省,锦州市,义县
210781=中国,辽宁省,锦州市,凌海市
210782=中国,辽宁省,锦州市,北镇市
210800=中国,辽宁省,营口市
210802=中国,辽宁省,营口市,站前区
210803=中国,辽宁省,营口市,西市区
210804=中国,辽宁省,营口市,鲅鱼圈区
210811=中国,辽宁省,营口市,老边区
210881=中国,辽宁省,营口市,盖州市
210882=中国,辽宁省,营口市,大石桥市
210900=中国,辽宁省,阜新市
210902=中国,辽宁省,阜新市,海州区
210903=中国,辽宁省,阜新市,新邱区
210904=中国,辽宁省,阜新市,太平区
210905=中国,辽宁省,阜新市,清河门区
210911=中国,辽宁省,阜新市,细河区
210921=中国,辽宁省,阜新市,阜新蒙古族自治县
210922=中国,辽宁省,阜新市,彰武县
211000=中国,辽宁省,辽阳市
211002=中国,辽宁省,辽阳市,白塔区
211003=中国,辽宁省,辽阳市,文圣区
211004=中国,辽宁省,辽阳市,宏伟区
211005=中国,辽宁省,辽阳市,弓长岭区
211011=中国,辽宁省,辽阳市,太子河区
211021=中国,辽宁省,辽阳市,辽阳县
211081=中国,辽宁省,辽阳市,灯塔市
211100=中国,辽宁省,盘锦市
211102=中国,辽宁省,盘锦市,双台子区
211103=中国,辽宁省,盘锦市,兴隆台区
211104=中国,辽宁省,盘锦市,大洼区
211122=中国,辽宁省,盘锦市,盘山县
211200=中国,辽宁省,铁岭市
211202=中国,辽宁省,铁岭市,银州区
211204=中国,辽宁省,铁岭市,清河区
211221=中国,辽宁省,铁岭市,铁岭县
211223=中国,辽宁省,铁岭市,西丰县
211224=中国,辽宁省,铁岭市,昌图县
211281=中国,辽宁省,铁岭市,调兵山市
211282=中国,辽宁省,铁岭市,开原市
211300=中国,辽宁省,朝阳市
211302=中国,辽宁省,朝阳市,双塔区
211303=中国,辽宁省,朝阳市,龙城区
211321=中国,辽宁省,朝阳市,朝阳县
211322=中国,辽宁省,朝阳市,建平县
211324=中国,辽宁省,朝阳市,喀喇沁左翼蒙古族自治县
211381=中国,辽宁省,朝阳市,北票市
211382=中国,辽宁省,朝阳市,凌源市
211400=中国,辽宁省,葫芦岛市
211402=中国,辽宁省,葫芦岛市,连山区
211403=中国,辽宁省,葫芦岛市,龙港区
211404=中国,辽宁省,葫芦岛市,南票区
211421=中国,辽宁省,葫芦岛市,绥中县
211422=中国,辽宁省,葫芦岛市,建昌县
211481=中国,辽宁省,葫芦岛市,兴城市
220000=中国,吉林省
220100=中国,吉林省,长春市
220102=中国,吉林省,长春市,南关区
220103=中国,吉林省,长春市,宽城区
220104=中国,吉林省,长春市,朝阳区
220105=中国,吉林省,长春市,二道区
220106=中国,吉林省,长春市,绿园区
220112=中国,吉林省,长春市,双阳区
220113=中国,吉林省,长春市,九台区
220122=中国,吉林省,长春市,农安县
220182=中国,吉林省,长春市,榆树市
220183=中国,吉林省,长春市,德惠市
220200=中国,吉林省,吉林市
220202=中国,吉林省,吉林市,昌邑区
220203=中国,吉林省,吉林市,龙潭区
220204=中国,吉林省,吉林市,船营区
220211=中国,吉林省,吉林市,丰满区
220221=中国,吉林省,吉林市,永吉县
220281=中国,吉林省,吉林市,蛟河市
220282=中国,吉林省,吉林市,桦甸市
220283=中国,吉林省,吉林市,舒兰市
220284=中国,吉林省,吉林市,磐石市
220300=中国,吉林省,四平市
220302=中国,吉林省,四平市,铁西区
220303=中国,吉林省,四平市,铁东区
220322=中国,吉林省,四平市,梨树县
220323=中国,吉林省,四平市,伊通满族自治县
220381=中国,吉林省,四平市,公主岭市
220382=中国,吉林省,四平市,双辽市
220400=中国,吉林省,辽源市
220402=中国,吉林省,辽源市,龙山区
220403=中国,吉林省,辽源市,西安区
220421=中国,吉林省,辽源市,东丰县
220422=中国,吉林省,辽源市,东辽县
220500=中国,吉林省,通化市
220502=中国,吉林省,通化市,东昌区
220503=中国,吉林省,通化市,二道江区
220521=中国,吉林省,通化市,通化县
220523=中国,吉林省,通化市,辉南县
220524=中国,吉林省,通化市,柳河县
220581=中国,吉林省,通化市,梅河口市
220582=中国,吉林省,通化市,集安市
220600=中国,吉林省,白山市
220602=中国,吉林省,白山市,浑江区
220605=中国,吉林省,白山市,江源区
220621=中国,吉林省,白山市,抚松县
220622=中国,吉林省,白山市,靖宇县
220623=中国,吉林省,白山市,长白朝鲜族自治县
220681=中国,吉林省,白山市,临江市
220700=中国,吉林省,松原市
220702=中国,吉林省,松原市,宁江区
220721=中国,吉林省,松原市,前郭尔罗斯蒙古族自治县
220722=中国,吉林省,松原市,长岭县
220723=中国,吉林省,松原市,乾安县
220781=中国,吉林省,松原市,扶余市
220800=中国,吉林省,白城市
220802=中国,吉林省,白城市,洮北区
220821=中国,吉林省,白城市,镇赉县
220822=中国,吉林省,白城市,通榆县
220881=中国,吉林省,白城市,洮南市
220882=中国,吉林省,白城市,大安市
222400=中国,吉林省,延边朝鲜族自治州
222401=中国,吉林省,延边朝鲜族自治州,延吉市
222402=中国,吉林省,延边朝鲜族自治州,图们市
222403=中国,吉林省,延边朝鲜族自治州,敦化市
222404=中国,吉林省,延边朝鲜族自治州,珲春市
222405=中国,吉林省,延边朝鲜族自治州,龙井市
222406=中国,吉林省,延边朝鲜族自治州,和龙市
222424=中国,吉林省,延边朝鲜族自治州,汪清县
